Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Global_active_power,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3,Space_heating,Appliances,Lighting
46.7,48.5,47.9,44.5,87.87,2713.364,11354.6,1483.0,379.0,7602.0,22474.494666666666,20357.380366666668,590.4858666666667
44.8,45.6,45.1,42.1,89.31,1508.378,6543.2,1336.0,402.0,5678.0,11215.772666666666,12632.506366666667,467.7513666666667
43.7,43.8,43.7,39.0,83.4,2447.62,10487.0,1987.0,8177.0,12810.0,11560.593333333334,26974.625633333333,1685.2493333333332
39.1,40.2,39.5,36.8,90.06,2241.36,9434.4,0.0,467.0,17547.0,12693.92,24011.5739,160.31539999999998
37.8,38.2,38.0,35.4,90.4,1869.054,7950.4,1688.0,4267.0,9790.0,9943.258,19598.0718,1068.0412999999999
42.6,47.2,44.6,43.2,94.56,2154.8,9155.2,771.0,4456.0,11012.0,12638.566666666666,21637.164066666668,892.4776666666666
39.3,42.6,40.9,33.9,75.99,2255.194,9588.0,1378.0,2170.0,12415.0,13903.211333333333,22137.661233333332,738.2502333333333
37.4,37.7,37.6,36.0,94.24,1461.296,6205.2,0.0,439.0,8276.0,10027.798666666667,13579.919166666667,137.99146666666667
38.4,39.7,39.4,36.2,88.23,3186.814,13612.4,7806.0,2975.0,11341.0,19668.411333333333,29600.173333333332,2455.449633333333
27.1,29.6,28.0,22.4,79.0,3007.816,12905.4,1777.0,4215.0,12975.0,19840.225333333332,27787.895433333335,1161.3549333333333
33.8,36.2,34.9,32.0,89.0,2148.678,9016.6,1099.0,2239.0,15163.0,11338.905999999999,23355.7002,658.3404999999999
26.4,26.6,26.5,20.8,78.81,1686.404,7165.4,2063.0,644.0,6583.0,11929.694666666666,14639.898866666666,682.6928666666666
22.1,31.4,27.3,20.1,74.59,2847.688,11928.8,3500.0,5737.0,16064.0,14382.049333333332,30629.858833333332,1741.9817333333333
24.5,25.8,25.1,19.1,77.7,1821.462,7693.2,0.0,336.0,13491.0,10788.673999999999,18967.4711,128.4167
28.5,30.5,29.7,26.6,88.03,1480.44,6301.8,2103.0,330.0,7172.0,9629.66,13797.5976,630.8994
25.8,26.3,26.1,23.6,90.1,3133.732,13461.2,4324.0,5222.0,11440.0,19828.177333333333,29082.60293333333,1917.3179333333333
32.5,32.6,32.6,30.5,91.96,3407.262,14674.6,10346.0,5567.0,11599.0,18614.894,33475.21,3416.6126999999997
32.6,35.1,33.8,31.9,92.9,2180.494,9151.6,1054.0,2983.0,11361.0,13439.451333333333,21329.172533333334,766.9136333333333
36.3,37.6,36.9,35.3,93.85,1777.64,7575.6,0.0,1064.0,5061.0,14773.886666666667,13409.972466666666,262.4284666666667
32.6,35.7,34.7,31.5,88.21,2987.854,12576.4,3464.0,2480.0,11744.0,20377.691333333332,26640.673433333333,1339.3830333333333
25.4,27.1,26.3,21.2,80.57,1596.344,6666.2,1158.0,262.0,11239.0,9096.534666666666,16718.285466666668,386.58046666666667
29.0,29.6,29.3,24.5,81.98,1617.972,6798.8,1163.0,261.0,8238.0,11058.124,14796.5287,404.4456
40.1,46.0,41.9,39.0,89.68,2044.072,8567.8,1170.0,3896.0,12374.0,10804.237333333333,21846.436933333334,897.8505333333333
38.8,43.0,40.3,36.8,87.05,3090.204,13143.4,3466.0,3997.0,12045.0,20318.948,28216.0259,1545.9132
49.7,51.6,50.6,47.4,88.86,1982.664,8336.0,1123.0,294.0,15254.0,10761.668,21487.6152,394.57419999999996
53.4,55.5,54.5,51.7,90.27,1707.798,7240.6,1123.0,1424.0,8149.0,11341.686,15828.8825,555.4497
41.2,43.1,42.1,41.0,96.03,2363.752,9970.0,0.0,5950.0,15052.0,12006.277333333333,25961.662733333334,902.3593333333332
45.3,49.7,46.8,44.8,92.71,1824.76,7678.8,1170.0,386.0,13145.0,10267.033333333333,19292.330533333334,415.2075333333333
39.0,41.4,40.4,35.8,83.59,1667.736,7014.0,0.0,356.0,11338.0,10436.512,16704.3324,128.9952
34.4,40.4,38.0,28.9,69.7,4029.722,17015.0,4746.0,4573.0,17834.0,25518.960666666666,37988.89886666667,1975.2165666666665
47.6,50.0,48.6,45.6,89.04,3595.94,15214.2,3391.0,4597.0,14472.0,23811.726666666666,32830.93576666667,1636.8078666666665
39.2,42.0,40.6,36.4,84.67,1645.28,6941.4,896.0,2564.0,7849.0,10303.606666666667,15818.191666666668,647.3272666666667
39.1,43.9,41.7,32.5,70.85,1273.48,5431.6,1185.0,405.0,4517.0,9553.633333333333,10538.312833333333,418.46733333333333
36.5,37.7,36.9,31.3,79.95,2328.018,9780.0,3299.0,3513.0,11986.0,12880.866,23810.966,1379.4793
34.2,40.8,38.5,30.0,71.79,1801.414,7557.6,2226.0,366.0,10157.0,11116.511333333334,17594.051033333333,676.6948333333333
33.9,35.8,34.5,31.6,88.96,1620.198,6807.2,0.0,3045.0,9770.0,9187.546,16858.5776,485.67049999999995
31.3,31.6,31.5,28.3,88.02,2829.328,11957.4,5071.0,2831.0,14405.0,15982.249333333333,28509.239833333333,1741.0633333333333
40.4,45.7,42.7,37.8,83.23,3571.228,15158.6,2430.0,4765.0,13114.0,24835.66933333333,31447.105433333334,1435.0543333333333
35.2,35.7,35.5,33.1,90.95,1877.61,7925.0,2227.0,399.0,11517.0,11093.99,18938.5412,680.8118999999999
30.3,33.3,31.5,20.6,63.72,1414.546,5967.0,0.0,2828.0,6256.0,9235.135333333334,13267.409633333333,457.6324333333333
30.9,31.5,31.2,28.4,89.09,2498.672,10533.8,3295.0,3793.0,11579.0,14709.230666666666,24587.550166666668,1431.5202666666667
42.7,48.1,45.5,39.2,78.91,1985.346,8381.2,0.0,2363.0,14028.0,10913.942,21306.1088,405.3311
34.0,44.4,38.7,34.1,84.0,1702.528,7267.0,1148.0,859.0,8689.0,11308.829333333333,15869.818833333333,484.1275333333333
33.0,42.7,37.7,32.5,82.1,2076.912,8826.0,1765.0,2226.0,7157.0,14835.944,17826.5286,849.0591999999999
32.4,43.8,37.6,30.2,75.11,3829.762,16184.0,6107.0,8003.0,13129.0,23211.18733333333,36212.04173333333,2755.740033333333
31.3,34.2,32.7,28.4,84.04,2186.614,9276.8,1634.0,2900.0,13085.0,12194.631333333333,22742.042433333332,885.8380333333333
36.7,45.3,41.3,31.1,67.51,3149.928,13202.6,2058.0,5191.0,9713.0,22421.336,26981.0979,1384.3806
29.1,32.8,30.8,21.4,67.88,2072.874,8747.2,3527.0,2332.0,11548.0,11089.278,21620.2661,1259.6785
28.0,33.4,30.8,18.3,60.0,3369.478,14194.2,1409.0,4129.0,12251.0,24278.799333333332,28998.07053333333,1096.3198333333332
25.1,29.3,27.1,17.1,65.77,1313.48,5508.6,0.0,503.0,10786.0,7004.886666666666,14538.236766666667,121.52026666666666
28.5,29.6,29.1,25.1,84.89,714.922,3003.6,0.0,363.0,3562.0,5096.507333333333,6394.221333333333,89.39243333333333
31.9,34.9,33.4,30.7,89.93,501.74,2105.6,0.0,329.0,1660.0,4017.866666666667,3957.863966666667,76.67646666666667
33.7,35.0,34.2,30.0,84.55,568.484,2388.8,0.0,331.0,2830.0,4027.7146666666667,5106.018166666667,76.65086666666666
37.0,38.6,37.8,34.9,89.02,518.112,2195.4,0.0,314.0,1924.0,4043.224,4215.4182,74.7528
35.3,36.2,35.8,31.1,83.16,520.774,2201.0,0.0,340.0,1973.0,4026.191333333333,4276.967633333334,78.14083333333333
36.4,36.6,36.5,31.5,81.75,517.564,2172.8,0.0,316.0,1980.0,4003.8413333333333,4251.640333333334,74.68953333333333
34.3,37.6,35.8,26.7,69.27,515.688,2169.8,0.0,340.0,1969.0,3975.956,4247.3806,77.737
32.1,38.0,34.5,27.4,74.98,819.122,3457.6,0.0,347.0,4597.0,5582.8606666666665,7638.762466666667,90.80156666666666
33.3,55.7,46.3,33.3,61.4,2090.7,8867.8,1476.0,8711.0,9408.0,9831.32,22845.9359,1621.061
42.1,55.3,49.0,33.1,54.89,2660.332,11290.0,5727.0,12109.0,10026.0,10616.697333333334,30004.090433333335,3122.1457333333333
49.4,50.5,49.9,37.0,61.03,1246.5,5321.8,0.0,1740.0,4700.0,9075.7,10728.233,308.66299999999995
49.7,55.5,51.7,48.0,87.23,2375.206,9986.4,1076.0,4761.0,15513.0,11927.315333333334,26158.825933333334,1000.8848333333333
50.1,53.4,51.4,49.3,92.53,1572.132,6717.8,2180.0,3385.0,6655.0,8935.164,15635.0579,1060.252
47.3,59.9,54.9,44.7,70.26,1272.612,5373.0,1093.0,345.0,8631.0,7252.784,13253.8325,368.0754
42.4,45.6,44.3,41.4,89.82,2484.712,10572.4,4130.0,5422.0,10979.0,13385.297333333334,25364.536133333335,1845.6447333333333
33.5,33.6,33.6,31.1,90.67,3480.636,14575.0,4810.0,3420.0,9500.0,25353.971999999998,28826.9362,1835.0749999999998
26.7,28.7,27.9,25.7,91.49,1950.668,8249.0,1403.0,2841.0,12353.0,10360.882666666666,20864.491566666667,807.1632666666667
21.7,29.3,25.4,16.6,69.25,1290.144,5480.2,1350.0,3859.0,5323.0,7014.568,13134.5631,908.2278
32.6,39.2,35.3,27.2,73.31,1793.364,7585.2,3485.0,480.0,8607.0,11081.068,17115.6058,998.121
29.6,32.6,31.1,25.1,78.25,1884.814,7953.4,0.0,3263.0,11036.0,11052.471333333333,19235.426733333334,529.9934333333333
36.6,45.9,41.0,25.7,54.73,1702.054,7189.0,1106.0,4604.0,5370.0,10933.091333333334,15642.616633333333,982.0394333333332
41.8,44.1,42.8,39.3,87.28,2028.09,8562.4,2208.0,359.0,12275.0,12245.89,20218.0274,679.7957
36.1,43.5,41.7,35.8,79.64,2371.046,10091.4,6564.0,7369.0,5856.0,12465.868666666667,23421.355466666668,2696.0391666666665
39.9,47.4,43.6,36.7,76.93,2152.518,9046.0,1648.0,2686.0,14118.0,11367.166,23152.4779,853.0840999999999
41.1,42.1,41.6,37.0,83.67,2086.228,8857.8,3745.0,2837.0,11255.0,10948.949333333334,21863.919833333333,1380.3527333333332
37.6,48.6,43.3,36.7,77.76,2142.092,8981.6,1865.0,4133.0,12335.0,11261.890666666666,22773.335166666668,1102.5792666666666
41.4,50.0,45.6,33.8,63.62,1454.978,6081.2,353.0,736.0,10462.0,8291.632666666666,15348.593566666666,249.44476666666665
44.3,53.8,50.1,37.6,62.24,1309.008,5477.4,1127.0,777.0,8369.0,7491.916,13519.3679,437.18199999999996
39.4,41.8,40.4,35.4,82.3,2968.43,12532.8,3707.0,5797.0,16382.0,15279.736666666666,31607.624466666668,1807.5501666666667
37.6,37.6,37.6,21.7,52.18,3336.124,13990.4,4630.0,3600.0,9358.0,23943.041333333334,27986.183133333332,1804.5543333333333
35.2,42.4,38.8,23.0,53.05,1416.082,6023.6,1088.0,344.0,9096.0,8469.327333333333,14324.819633333333,376.38603333333333
35.0,39.3,36.9,23.6,58.21,1105.14,4747.0,0.0,3019.0,3697.0,7403.74,9999.5733,469.70279999999997
37.0,44.0,40.6,26.0,55.9,2333.898,9870.6,1122.0,8527.0,13888.0,10079.526,26916.3284,1510.6055
32.5,41.8,37.6,23.2,56.13,1590.406,6734.6,1162.0,460.0,10724.0,9208.635333333334,16447.23543333333,415.5894333333333
33.4,34.2,33.8,22.7,63.53,1402.394,6033.0,1094.0,468.0,8217.0,8757.104666666666,13726.092366666666,397.33596666666665
29.8,40.6,36.6,25.4,64.82,3509.51,14781.2,2620.0,7707.0,17682.0,19606.636666666665,35914.73006666666,1838.2435666666665
32.0,41.7,36.4,23.0,58.57,2785.9519999999998,11735.2,4629.0,5401.0,19509.0,11254.350666666667,32956.13656666667,1944.0050666666666
35.1,49.6,43.9,22.4,42.97,1960.778,8226.2,1755.0,970.0,16641.0,8920.092666666667,22961.532766666667,624.7961666666666
35.0,47.4,41.1,23.3,49.51,1642.82,6978.6,3630.0,1042.0,7637.0,9649.706666666667,16032.676066666667,1098.6410666666666
35.6,37.9,36.6,27.7,69.9,2051.868,8620.2,3434.0,420.0,14748.0,10259.316,22595.8554,968.9581999999999
38.6,46.6,42.4,30.5,62.9,1844.078,7907.8,1086.0,4277.0,10523.0,9627.072666666667,19704.288866666666,920.4513666666667
37.3,42.8,39.9,30.7,69.68,1601.14,6751.6,0.0,5466.0,9166.0,7839.913333333333,17671.332533333334,804.7375333333333
35.9,52.5,46.5,28.3,50.53,1553.924,6573.0,1127.0,3111.0,5923.0,9994.314666666667,14428.504566666667,776.0424666666667
41.2,49.2,45.0,30.8,57.47,1608.816,6796.6,0.0,485.0,3545.0,14267.632,11172.1157,179.975
42.0,46.5,44.2,42.1,92.18,1000.92,4283.4,2667.0,514.0,3801.0,6166.04,9324.0902,766.0544
46.6,55.5,51.3,41.2,69.05,777.364,3380.2,209.0,742.0,2572.0,5951.381333333334,6351.114333333333,198.97093333333333
52.0,55.4,53.5,44.5,71.48,887.482,3771.0,0.0,1112.0,6421.0,4757.027333333333,9656.652633333333,187.74623333333332
49.6,54.4,51.8,44.7,76.83,537.706,2301.0,0.0,541.0,1818.0,4166.435333333334,4371.066733333333,106.69803333333333
44.0,46.8,45.4,41.9,87.59,551.022,2366.4,0.0,558.0,1988.0,4194.894,4566.1435,109.18809999999999
55.8,74.7,66.4,47.2,51.81,554.268,2378.0,0.0,578.0,2008.0,4204.436,4607.8072,111.98259999999999
57.0,58.1,57.5,48.1,70.95,726.164,3148.6,0.0,1026.0,2893.0,5189.634666666667,6361.827666666667,180.65986666666666
53.6,65.6,60.3,44.2,55.81,952.39,4136.4,952.0,1305.0,4656.0,5741.543333333333,9325.731733333334,453.68743333333333
55.6,69.9,62.9,46.9,56.9,1223.734,5314.8,1532.0,389.0,6199.0,7858.811333333333,11561.568333333333,486.3292333333333
54.7,54.7,54.7,44.6,68.76,998.246,4313.4,1579.0,355.0,3430.0,7126.728666666667,8492.190666666667,488.09936666666664
44.1,53.9,49.7,38.7,66.75,1028.658,4400.4,733.0,1605.0,5748.0,5846.066,10537.7552,441.8649
42.7,45.6,44.1,36.2,73.79,822.58,3592.6,1069.0,360.0,3499.0,5584.593333333333,7389.171133333333,352.49353333333335
41.6,60.0,52.8,33.9,50.4,1673.656,7251.4,6575.0,463.0,11129.0,6476.065333333333,19546.51063333333,1708.1069333333332
41.8,53.6,49.7,33.3,53.42,2233.714,9631.4,4264.0,2287.0,11102.0,12580.931333333334,22467.029333333332,1444.6664333333333
48.0,50.5,49.2,40.9,72.92,1054.566,4700.4,1402.0,506.0,6005.0,6231.322,10542.809299999999,457.63829999999996
50.8,71.4,63.3,47.9,58.66,1032.1,4528.6,1125.0,527.0,6680.0,5766.393333333333,10771.984233333333,389.27573333333333
56.6,70.0,63.6,50.3,63.33,1264.162,5555.6,0.0,1469.0,8812.0,7041.267333333333,13465.439533333332,254.01963333333333
48.0,61.0,57.2,47.7,70.98,1275.466,5650.2,1324.0,1845.0,7163.0,7060.495333333333,13193.875333333333,627.3850333333332
42.7,51.1,46.8,35.4,65.08,1094.332,4770.0,1772.0,545.0,4756.0,7113.077333333334,10089.030633333334,560.2999333333333
40.8,41.7,41.3,35.4,79.43,22.738,97.4,0.0,18.0,0.0,223.79933333333332,129.97303333333332,4.256433333333333
41.7,57.6,52.9,34.2,50.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45.8,53.0,49.2,36.5,61.51,420.822,1865.8,1214.0,500.0,1131.0,2629.834,3799.0447,383.7027
48.2,56.7,53.1,45.8,76.19,1663.858,7305.6,4005.0,995.0,8546.0,9136.519333333334,16900.417933333334,1178.8578333333332
50.2,60.2,54.4,50.0,86.08,1003.486,4523.8,7.0,1490.0,3754.0,7263.895333333333,8668.381433333334,262.00643333333335
47.7,49.4,48.5,43.7,83.54,1090.238,4763.0,1906.0,1725.0,7836.0,4469.692666666667,12862.813466666666,731.2399666666666
45.9,60.2,53.1,43.2,70.12,998.128,4432.4,2259.0,538.0,3990.0,6265.649333333334,9271.189333333334,671.0031333333333
52.1,57.5,54.7,45.2,70.39,1563.052,6820.0,2913.0,2493.0,11303.0,6244.077333333334,18578.087433333334,1093.5323333333333
49.5,65.4,55.9,46.6,71.98,2102.104,9229.0,3215.0,949.0,10095.0,13284.961333333333,19894.68243333333,1013.7361333333333
52.2,65.3,58.6,49.4,72.35,1643.664,7172.6,946.0,4935.0,9433.0,7867.168,18203.4255,962.2377999999999
54.8,55.4,55.1,52.5,90.94,1789.292,7713.2,4581.0,2011.0,8777.0,9311.650666666666,18528.978966666666,1458.4276666666667
52.2,60.0,56.8,43.3,61.39,1665.736,7280.8,3018.0,5631.0,9474.0,6355.305333333334,19640.475833333334,1547.9089333333332
49.0,54.1,51.4,43.4,74.11,707.884,3177.8,946.0,534.0,3261.0,4505.821333333333,6662.573133333333,337.7049333333333
50.1,61.7,55.9,44.6,67.55,979.154,4359.8,926.0,491.0,6471.0,5486.2046666666665,10243.060866666667,333.86316666666664
47.2,49.9,48.6,40.9,74.68,1441.566,6279.2,2247.0,1075.0,10408.0,6799.902,16260.1376,743.4671
53.8,59.0,56.2,46.7,70.86,1634.738,7155.6,3612.0,2414.0,8958.0,7960.532666666667,17629.083966666665,1267.0885666666666
50.1,52.6,51.7,39.4,62.9,1467.782,6586.8,3176.0,2417.0,5517.0,8499.560666666666,14220.273666666666,1167.0933666666667
47.0,58.9,54.7,40.4,59.27,904.392,3936.0,0.0,408.0,5318.0,6007.984,8612.18,102.3056
49.0,54.3,51.7,46.0,81.02,1692.944,7303.4,2213.0,5756.0,9077.0,7288.314666666666,19228.638266666665,1377.1322666666665
49.9,52.6,51.3,46.4,83.45,1231.816,5358.2,1014.0,2073.0,7687.0,6356.365333333333,13307.239433333332,577.3231333333333
48.5,59.4,55.8,43.5,64.08,1631.53,7022.4,3270.0,3913.0,8116.0,7698.403333333334,17709.371933333332,1386.3724333333332
50.8,56.3,52.9,48.6,85.41,1429.442,6219.8,4683.0,530.0,7022.0,7466.080666666667,14671.364166666666,1267.1635666666666
50.2,53.3,51.9,49.4,91.23,1968.328,8555.8,5420.0,1733.0,7611.0,11490.149333333333,18900.517033333334,1642.2179333333333
51.8,52.4,52.2,49.9,92.03,1120.062,4807.6,0.0,468.0,9060.0,6029.014,12325.2565,109.4401
48.3,49.0,48.7,42.0,77.84,1132.852,4895.8,931.0,3966.0,3984.0,6359.277333333333,11268.409133333333,816.2153333333333
48.2,52.6,51.0,34.6,53.69,1464.936,6332.4,956.0,3792.0,8119.0,7484.892,15746.4638,806.3302
40.8,47.0,44.1,38.7,81.27,1154.388,4985.4,955.0,4116.0,4746.0,6031.976,11992.1588,839.5871999999999
43.8,57.3,52.2,40.0,64.62,1614.22,7003.4,8060.0,586.0,6539.0,7527.133333333333,16836.821533333332,2095.374533333333
45.5,57.7,51.6,41.3,69.26,1512.248,6570.4,2373.0,2754.0,8628.0,7443.582666666666,16398.328666666668,1008.5048666666667
49.4,55.3,52.4,40.4,63.92,2153.808,9369.4,4366.0,5534.0,10444.0,10060.496,23418.1126,1891.5595999999998
52.0,56.2,53.8,49.4,84.98,1637.468,7087.6,4554.0,473.0,9586.0,8243.882666666666,17423.443166666668,1233.5244666666665
47.0,54.7,51.8,42.8,71.81,1061.34,4618.4,0.0,1907.0,4332.0,7272.28,9591.3979,316.98339999999996
51.0,58.0,54.9,50.2,84.32,1609.866,6953.0,2250.0,5948.0,7804.0,7026.202,18046.5963,1410.5630999999998
51.9,57.0,53.9,48.9,83.24,938.55,4020.2,935.0,477.0,3552.0,6762.75,8042.8434,345.3779
55.3,58.4,56.9,50.1,78.23,1044.918,4512.2,0.0,483.0,7664.0,6052.906,10988.5622,112.1261
51.9,63.4,58.9,41.9,53.92,1484.362,6442.6,3971.0,1250.0,7633.0,7674.247333333334,15456.595433333334,1193.8356333333334
48.1,55.7,52.0,44.7,76.4,2108.026,9148.2,4985.0,7529.0,8334.0,9190.535333333333,23106.691333333332,2307.236633333333
49.8,66.0,59.1,44.3,58.83,911.618,4064.0,1585.0,836.0,4533.0,5289.892666666667,9049.046966666667,539.8993666666667
54.4,71.7,63.1,50.8,65.26,1458.892,6429.8,4484.0,1027.0,6448.0,7918.557333333333,14621.322433333333,1290.3719333333333
60.0,63.4,61.7,52.5,71.92,1693.638,7351.6,3329.0,829.0,11663.0,8158.426,18785.871199999998,983.2225
67.0,81.5,76.5,51.1,41.97,985.002,4294.6,985.0,699.0,3959.0,6838.054,8707.9952,388.2303
60.9,68.6,64.7,54.6,70.12,2148.046,9285.4,2799.0,11440.0,11380.0,6767.895333333333,26562.230833333335,2288.6340333333333
54.4,56.9,55.5,53.1,91.52,1059.814,4565.2,852.0,596.0,6590.0,6231.451333333333,10774.844233333333,336.16863333333333
53.6,54.6,54.1,48.6,81.56,1340.812,5768.2,4202.0,1924.0,5983.0,6586.797333333333,14047.984933333333,1333.4837333333332
60.0,65.2,63.0,53.9,72.34,794.654,3481.8,0.0,487.0,5328.0,4819.2446666666665,8082.3768666666665,103.47556666666667
61.7,65.6,63.5,57.5,81.09,918.766,4116.4,1882.0,475.0,3898.0,5771.735333333333,8589.027933333333,566.9334333333333
55.7,64.0,60.0,54.8,83.12,927.272,4057.2,957.0,857.0,5216.0,5431.850666666666,9330.544366666667,391.2056666666667
55.1,64.5,60.6,46.8,60.92,1259.084,5448.0,3322.0,2147.0,7054.0,5528.434666666667,14077.935766666667,1141.3116666666665
57.1,60.0,58.6,51.4,77.09,989.604,4415.4,2269.0,4011.0,4547.0,3695.048,11507.4483,1125.5434
55.7,71.7,65.5,48.7,55.4,2017.762,8604.0,3289.0,4498.0,11108.0,9579.627333333334,22109.715633333333,1484.8686333333333
60.2,60.7,60.5,56.1,85.74,1947.09,8307.8,4124.0,5038.0,8734.0,9373.77,20787.1709,1760.2603
65.9,82.9,77.2,62.0,60.65,678.474,2993.4,0.0,529.0,4241.0,4223.138,6753.4475999999995,104.7393
63.1,75.3,68.0,62.8,84.07,842.36,3682.4,973.0,535.0,4357.0,5242.366666666667,8129.670766666667,349.9830666666667
63.2,63.7,63.5,61.6,93.71,1074.286,4761.8,1761.0,2588.0,5106.0,5443.095333333334,11332.836833333333,822.3052333333333
58.4,64.6,61.5,54.8,79.05,806.946,3601.2,932.0,2400.0,3711.0,4120.222,8505.4801,585.2000999999999
58.5,62.6,60.4,51.9,73.61,566.294,2602.6,0.0,951.0,3482.0,3242.5246666666667,5876.109666666666,154.55236666666664
56.6,63.5,60.4,49.8,68.05,477.56600000000003,2211.4,0.0,786.0,2402.0,3054.3686666666667,4583.804566666667,130.91036666666665
55.0,58.6,56.7,48.2,73.49,714.656,3179.0,0.0,791.0,3449.0,4893.938666666667,6550.076566666667,146.08886666666666
51.1,53.5,52.3,47.3,83.15,1072.202,4680.0,1985.0,3621.0,4816.0,4810.420666666667,11788.262266666667,1012.3783666666666
54.8,66.3,62.5,44.6,52.65,944.908,4143.0,971.0,1334.0,5231.0,5300.969333333333,9700.844933333334,458.51193333333333
54.5,59.1,56.2,49.7,79.11,1480.826,6378.0,2603.0,6451.0,7270.0,5471.788666666666,17432.629666666668,1552.4167666666665
54.1,61.9,58.3,53.7,84.95,1295.438,5601.0,0.0,4368.0,9541.0,5144.252666666666,15710.555366666666,633.3297666666666
57.6,66.2,60.6,55.7,84.69,1304.198,5673.2,4363.0,667.0,6797.0,6415.852666666667,13790.917266666667,1199.7299666666665
57.6,61.5,59.5,49.9,70.47,1335.314,5719.0,3049.0,792.0,8376.0,6558.7446666666665,14517.369166666667,898.3587666666666
61.2,73.6,66.7,57.6,73.45,1026.664,4436.2,969.0,736.0,4690.0,6831.561333333333,9437.643133333333,389.0967333333333
61.6,69.2,65.6,55.5,70.12,967.032,4216.0,1018.0,5281.0,3445.0,4089.184,10783.5537,998.3086
59.9,67.6,63.9,57.4,80.0,1059.912,4652.2,467.0,3214.0,4695.0,5947.104,10750.4406,597.5803999999999
58.2,66.4,62.0,51.8,69.45,1003.41,4457.4,2329.0,2218.0,5632.0,4282.87,11363.2839,900.2952999999999
61.2,61.4,61.3,58.1,89.2,1057.29,4655.8,2922.0,770.0,3973.0,6331.95,9990.9059,864.1181
62.0,79.7,72.4,58.6,63.18,1069.5240000000001,4706.8,2826.0,3563.0,4005.0,4767.668,11561.9441,1208.5903999999998
67.7,77.9,72.4,60.5,66.81,1358.206,5810.2,997.0,3047.0,10177.0,5624.855333333333,16190.712333333333,699.1518333333333
65.5,80.2,73.0,57.6,59.58,1089.08,4736.6,1825.0,2831.0,5277.0,5306.446666666667,11688.128366666666,869.7838666666667
66.8,70.4,68.6,59.3,72.39,1180.158,5063.4,923.0,594.0,9386.0,5810.546,13339.3065,348.83869999999996
63.2,79.8,72.7,57.5,59.61,908.324,4012.0,67.0,2227.0,4631.0,5277.754666666667,9190.421766666666,360.65366666666665
56.0,61.9,58.8,48.2,67.96,722.352,3167.2,1015.0,647.0,5284.0,3369.1440000000002,8204.7803,360.0294
